20250122	110936	110934	110934	110934	110863
20250124	110963	110957	110957	110957	110863
20250124	110964	110957	110957	110957	110863
20250124	110966	110957	110957	110957	110863
20250124	110967	110957	110957	110957	110863
20250126	110988	110977	110977	110977	110977
20250126	110989	110977	110977	110977	110977
20250126	110990	110977	110977	110977	110977
20250126	110991	110977	110977	110977	110977
20250126	110992	110977	110977	110977	110977
20250126	110993	110977	110977	110977	110977
20250127	111010	111008	111008	111008	111008
20250127	111011	111008	111008	111008	111008
20250127	111012	111008	111008	111008	111008
20250127	111013	111008	111008	111008	111008
20250127	111014	111008	111008	111008	111008
20250127	111015	111008	111008	111008	111008
20250127	111016	111008	111008	111008	111008
20250127	111017	111008	111008	111008	111008
20250128	111037	111029	111029	111029	111029
20250128	111038	111029	111029	111029	111029
20250128	111039	111029	111029	111029	111029
20250128	111041	111029	111029	111029	111029
20250131	111059	111047	111047	111047	111047
20250131	111060	111047	111047	111047	111047
20250131	111061	111047	111047	111047	111047
20250131	111062	111047	111047	111047	111047
20250131	111063	111047	111047	111047	111047
20250131	111064	111047	111047	111047	111047
20250131	111065	111047	111047	111047	111047
20250202	111112	111101	111101	111101	111101
20250202	111113	111101	111101	111101	111101
20250202	111114	111101	111101	111101	111101
20250202	111115	111101	111101	111101	111101
20250202	111116	111101	111101	111101	111101
20250202	111117	111101	111101	111101	111101
20250203	111138	111129	111129	111129	111129
20250203	111139	111129	111129	111129	111129
20250204	111153	111149	111149	111149	111149
20250204	111154	111149	111149	111149	111149
20250204	111155	111149	111149	111149	111149
20250204	111156	111149	111149	111149	111149
20250204	111157	111149	111149	111149	111149
20250204	111158	111149	111149	111149	111149
20250205	111175	111172	111172	111172	111172
20250205	111176	111172	111172	111172	111172
20250206	111197	111195	111195	111195	111195
20250206	111198	111195	111195	111195	111195
20250207	111208	111207	111207	111207	111207
20250207	111209	111207	111207	111207	111207
20250221	111290	111278	111278	111278	111278
20250223	111340	111329	111329	111329	111329
20250224	111364	111351	111351	111351	111351
20250226	111411	111396	111396	111396	111396
20250227	111434	111421	111421	111421	111421
20250301	111477	111465	111465	111465	111465
20250301	111478	111465	111465	111465	111465
